dateday,year,month,hr,holiday,weekday,workingday,casual,registered,count
2011-01-10,0,Jan,10,0,Mon,1,0,31,31
2011-01-10,0,Jan,11,0,Mon,1,2,28,30
2011-01-10,0,Jan,12,0,Mon,1,5,47,52
2011-01-10,0,Jan,13,0,Mon,1,4,50,54
2011-01-10,0,Jan,14,0,Mon,1,0,47,47
2011-01-10,0,Jan,15,0,Mon,1,2,43,45
2011-01-10,0,Jan,16,0,Mon,1,4,70,74
2011-01-10,0,Jan,17,0,Mon,1,4,174,178
2011-01-10,0,Jan,18,0,Mon,1,1,154,155
2011-01-10,0,Jan,19,0,Mon,1,3,92,95
2011-01-10,0,Jan,20,0,Mon,1,1,73,74
2011-01-10,0,Jan,21,0,Mon,1,1,37,38
2011-01-10,0,Jan,22,0,Mon,1,2,22,24
2011-01-10,0,Jan,23,0,Mon,1,0,18,18
2011-01-11,0,Jan,0,0,Tue,1,2,10,12
2011-01-11,0,Jan,1,0,Tue,1,0,3,3
2011-01-11,0,Jan,2,0,Tue,1,0,3,3
2011-01-11,0,Jan,5,0,Tue,1,0,6,6
2011-01-11,0,Jan,6,0,Tue,1,0,27,27
2011-01-11,0,Jan,7,0,Tue,1,2,97,99
2011-01-11,0,Jan,8,0,Tue,1,3,214,217
2011-01-11,0,Jan,9,0,Tue,1,3,127,130
2011-01-11,0,Jan,10,0,Tue,1,3,51,54
2011-01-11,0,Jan,11,0,Tue,1,4,31,35
2011-01-11,0,Jan,12,0,Tue,1,2,55,57
2011-01-11,0,Jan,13,0,Tue,1,6,46,52
2011-01-11,0,Jan,14,0,Tue,1,3,60,63
2011-01-11,0,Jan,15,0,Tue,1,2,45,47
2011-01-11,0,Jan,16,0,Tue,1,4,72,76
2011-01-11,0,Jan,17,0,Tue,1,6,130,136
2011-01-11,0,Jan,18,0,Tue,1,1,94,95
2011-01-11,0,Jan,19,0,Tue,1,0,51,51
2011-01-11,0,Jan,20,0,Tue,1,0,32,32
2011-01-11,0,Jan,21,0,Tue,1,0,20,20
2011-01-11,0,Jan,22,0,Tue,1,1,28,29
2011-01-11,0,Jan,23,0,Tue,1,1,18,19
2011-01-12,0,Jan,0,0,Wed,1,0,7,7
2011-01-12,0,Jan,1,0,Wed,1,0,6,6
2011-01-12,0,Jan,2,0,Wed,1,0,1,1
2011-01-12,0,Jan,5,0,Wed,1,0,5,5
2011-01-12,0,Jan,6,0,Wed,1,0,16,16
2011-01-12,0,Jan,7,0,Wed,1,0,54,54
2011-01-12,0,Jan,8,0,Wed,1,3,125,128
2011-01-12,0,Jan,9,0,Wed,1,3,78,81
2011-01-12,0,Jan,10,0,Wed,1,0,39,39
2011-01-12,0,Jan,11,0,Wed,1,3,32,35
2011-01-12,0,Jan,12,0,Wed,1,3,52,55
2011-01-12,0,Jan,13,0,Wed,1,0,49,49
2011-01-12,0,Jan,14,0,Wed,1,0,44,44
2011-01-12,0,Jan,15,0,Wed,1,1,48,49
2011-01-12,0,Jan,16,0,Wed,1,5,63,68
2011-01-12,0,Jan,17,0,Wed,1,0,139,139
2011-01-12,0,Jan,18,0,Wed,1,2,135,137
2011-01-12,0,Jan,19,0,Wed,1,1,82,83
2011-01-12,0,Jan,20,0,Wed,1,2,54,56
2011-01-12,0,Jan,21,0,Wed,1,0,57,57
2011-01-12,0,Jan,22,0,Wed,1,1,32,33
2011-01-12,0,Jan,23,0,Wed,1,1,19,20
2011-01-13,0,Jan,0,0,Thur,1,1,6,7
2011-01-13,0,Jan,1,0,Thur,1,0,2,2
2011-01-13,0,Jan,2,0,Thur,1,0,2,2
2011-01-13,0,Jan,3,0,Thur,1,0,3,3
2011-01-13,0,Jan,4,0,Thur,1,0,4,4
2011-01-13,0,Jan,5,0,Thur,1,0,3,3
2011-01-13,0,Jan,6,0,Thur,1,0,28,28
2011-01-13,0,Jan,7,0,Thur,1,0,72,72
2011-01-13,0,Jan,8,0,Thur,1,5,197,202
2011-01-13,0,Jan,9,0,Thur,1,2,137,139
2011-01-13,0,Jan,10,0,Thur,1,2,36,38
2011-01-13,0,Jan,11,0,Thur,1,4,33,37
2011-01-13,0,Jan,12,0,Thur,1,3,49,52
2011-01-13,0,Jan,13,0,Thur,1,2,81,83
2011-01-13,0,Jan,14,0,Thur,1,3,39,42
2011-01-13,0,Jan,15,0,Thur,1,5,55,60
2011-01-13,0,Jan,16,0,Thur,1,2,76,78
2011-01-13,0,Jan,17,0,Thur,1,4,158,162
2011-01-13,0,Jan,18,0,Thur,1,3,141,144
2011-01-13,0,Jan,19,0,Thur,1,1,98,99
2011-01-13,0,Jan,20,0,Thur,1,0,64,64
2011-01-13,0,Jan,21,0,Thur,1,0,40,40
2011-01-13,0,Jan,22,0,Thur,1,0,30,30
2011-01-13,0,Jan,23,0,Thur,1,1,14,15
2011-01-14,0,Jan,0,0,Fri,1,0,14,14
2011-01-14,0,Jan,1,0,Fri,1,0,5,5
2011-01-14,0,Jan,2,0,Fri,1,0,1,1
2011-01-14,0,Jan,3,0,Fri,1,0,1,1
2011-01-14,0,Jan,5,0,Fri,1,0,8,8
2011-01-14,0,Jan,6,0,Fri,1,0,17,17
2011-01-14,0,Jan,7,0,Fri,1,0,70,70
2011-01-14,0,Jan,8,0,Fri,1,2,156,158
2011-01-14,0,Jan,9,0,Fri,1,0,117,117
2011-01-14,0,Jan,10,0,Fri,1,4,40,44
2011-01-14,0,Jan,11,0,Fri,1,6,47,53
2011-01-14,0,Jan,12,0,Fri,1,2,59,61
2011-01-14,0,Jan,13,0,Fri,1,4,73,77
2011-01-14,0,Jan,14,0,Fri,1,5,59,64
2011-01-14,0,Jan,15,0,Fri,1,9,59,68
2011-01-14,0,Jan,16,0,Fri,1,3,87,90
2011-01-14,0,Jan,17,0,Fri,1,4,155,159
2011-01-14,0,Jan,18,0,Fri,1,5,134,139
2011-01-14,0,Jan,19,0,Fri,1,3,89,92
2011-01-14,0,Jan,20,0,Fri,1,0,68,68
2011-01-14,0,Jan,21,0,Fri,1,4,48,52
2011-01-14,0,Jan,22,0,Fri,1,2,34,36
2011-01-14,0,Jan,23,0,Fri,1,1,26,27
2011-01-15,0,Jan,0,0,Sat,0,3,25,28
2011-01-15,0,Jan,1,0,Sat,0,2,18,20
2011-01-15,0,Jan,2,0,Sat,0,0,12,12
2011-01-15,0,Jan,3,0,Sat,0,1,7,8
2011-01-15,0,Jan,4,0,Sat,0,0,5,5
2011-01-15,0,Jan,5,0,Sat,0,0,1,1
2011-01-15,0,Jan,6,0,Sat,0,1,2,3
2011-01-15,0,Jan,7,0,Sat,0,1,9,10
2011-01-15,0,Jan,8,0,Sat,0,1,22,23
2011-01-15,0,Jan,9,0,Sat,0,2,31,33
2011-01-15,0,Jan,10,0,Sat,0,2,57,59
2011-01-15,0,Jan,11,0,Sat,0,18,54,72
2011-01-15,0,Jan,12,0,Sat,0,15,74,89
2011-01-15,0,Jan,13,0,Sat,0,21,80,101
2011-01-15,0,Jan,14,0,Sat,0,26,92,118
2011-01-15,0,Jan,15,0,Sat,0,21,108,129
2011-01-15,0,Jan,16,0,Sat,0,33,95,128
2011-01-15,0,Jan,17,0,Sat,0,29,54,83
2011-01-15,0,Jan,18,0,Sat,0,15,69,84
2011-01-15,0,Jan,19,0,Sat,0,14,60,74
2011-01-15,0,Jan,20,0,Sat,0,6,35,41
2011-01-15,0,Jan,21,0,Sat,0,6,51,57
2011-01-15,0,Jan,22,0,Sat,0,0,26,26
2011-01-15,0,Jan,23,0,Sat,0,5,39,44
2011-01-16,0,Jan,0,0,Sun,0,6,33,39
2011-01-16,0,Jan,1,0,Sun,0,4,19,23
2011-01-16,0,Jan,2,0,Sun,0,3,13,16
2011-01-16,0,Jan,3,0,Sun,0,9,6,15
2011-01-16,0,Jan,4,0,Sun,0,0,1,1
2011-01-16,0,Jan,5,0,Sun,0,1,1,2
2011-01-16,0,Jan,6,0,Sun,0,0,1,1
2011-01-16,0,Jan,7,0,Sun,0,0,3,3
2011-01-16,0,Jan,8,0,Sun,0,0,18,18
2011-01-16,0,Jan,9,0,Sun,0,3,29,32
2011-01-16,0,Jan,10,0,Sun,0,8,71,79
2011-01-16,0,Jan,11,0,Sun,0,23,70,93
2011-01-16,0,Jan,12,0,Sun,0,29,75,104
2011-01-16,0,Jan,13,0,Sun,0,23,95,118
2011-01-16,0,Jan,14,0,Sun,0,22,69,91
2011-01-16,0,Jan,15,0,Sun,0,35,78,113
2011-01-16,0,Jan,16,0,Sun,0,22,77,99
2011-01-16,0,Jan,17,0,Sun,0,23,82,105
2011-01-16,0,Jan,18,0,Sun,0,11,56,67
2011-01-16,0,Jan,19,0,Sun,0,14,47,61
2011-01-16,0,Jan,20,0,Sun,0,7,50,57
2011-01-16,0,Jan,21,0,Sun,0,6,22,28
2011-01-16,0,Jan,22,0,Sun,0,2,19,21
2011-01-16,0,Jan,23,0,Sun,0,0,18,18
2011-01-17,0,Jan,0,1,Mon,0,1,16,17
2011-01-17,0,Jan,1,1,Mon,0,1,15,16
2011-01-17,0,Jan,2,1,Mon,0,0,8,8
2011-01-17,0,Jan,3,1,Mon,0,0,2,2
2011-01-17,0,Jan,4,1,Mon,0,1,2,3
2011-01-17,0,Jan,5,1,Mon,0,0,1,1
2011-01-17,0,Jan,6,1,Mon,0,0,5,5
2011-01-17,0,Jan,7,1,Mon,0,4,9,13
2011-01-17,0,Jan,8,1,Mon,0,3,30,33
2011-01-17,0,Jan,9,1,Mon,0,8,39,47
2011-01-17,0,Jan,10,1,Mon,0,7,50,57
2011-01-17,0,Jan,11,1,Mon,0,9,55,64
2011-01-17,0,Jan,12,1,Mon,0,10,70,80
2011-01-17,0,Jan,13,1,Mon,0,13,80,93
2011-01-17,0,Jan,14,1,Mon,0,12,74,86
2011-01-17,0,Jan,15,1,Mon,0,21,72,93
2011-01-17,0,Jan,16,1,Mon,0,6,76,82
2011-01-17,0,Jan,17,1,Mon,0,4,67,71
2011-01-17,0,Jan,18,1,Mon,0,7,85,92
2011-01-17,0,Jan,19,1,Mon,0,2,58,60
2011-01-17,0,Jan,20,1,Mon,0,4,29,33
2011-01-17,0,Jan,21,1,Mon,0,3,24,27
2011-01-17,0,Jan,22,1,Mon,0,0,13,13
2011-01-17,0,Jan,23,1,Mon,0,1,3,4
2011-01-18,0,Jan,12,0,Tue,1,0,3,3
2011-01-18,0,Jan,13,0,Tue,1,0,22,22
2011-01-18,0,Jan,14,0,Tue,1,2,26,28
2011-01-18,0,Jan,15,0,Tue,1,3,32,35
2011-01-18,0,Jan,16,0,Tue,1,0,61,61
2011-01-18,0,Jan,17,0,Tue,1,1,124,125
2011-01-18,0,Jan,18,0,Tue,1,1,132,133
2011-01-18,0,Jan,19,0,Tue,1,1,98,99
2011-01-18,0,Jan,20,0,Tue,1,0,83,83
2011-01-18,0,Jan,21,0,Tue,1,0,41,41
2011-01-18,0,Jan,22,0,Tue,1,0,33,33
2011-01-18,0,Jan,23,0,Tue,1,1,19,20
2011-01-19,0,Jan,0,0,Wed,1,0,3,3
2011-01-19,0,Jan,1,0,Wed,1,1,6,7
2011-01-19,0,Jan,2,0,Wed,1,0,3,3
2011-01-19,0,Jan,4,0,Wed,1,1,1,2
2011-01-19,0,Jan,5,0,Wed,1,0,7,7
2011-01-19,0,Jan,6,0,Wed,1,0,32,32
2011-01-19,0,Jan,7,0,Wed,1,1,89,90
2011-01-19,0,Jan,8,0,Wed,1,1,196,197
2011-01-19,0,Jan,9,0,Wed,1,2,107,109
2011-01-19,0,Jan,10,0,Wed,1,1,46,47
2011-01-19,0,Jan,11,0,Wed,1,5,47,52
2011-01-19,0,Jan,12,0,Wed,1,5,65,70
2011-01-19,0,Jan,13,0,Wed,1,11,67,78
2011-01-19,0,Jan,14,0,Wed,1,7,68,75
2011-01-19,0,Jan,15,0,Wed,1,4,78,82
2011-01-19,0,Jan,16,0,Wed,1,10,94,104
2011-01-19,0,Jan,17,0,Wed,1,7,190,197
2011-01-19,0,Jan,18,0,Wed,1,5,156,161
2011-01-19,0,Jan,19,0,Wed,1,4,108,112
2011-01-19,0,Jan,20,0,Wed,1,2,74,76
2011-01-19,0,Jan,21,0,Wed,1,4,55,59
2011-01-19,0,Jan,22,0,Wed,1,6,53,59
2011-01-19,0,Jan,23,0,Wed,1,1,27,28
2011-01-20,0,Jan,0,0,Thur,1,5,8,13
2011-01-20,0,Jan,1,0,Thur,1,2,3,5
2011-01-20,0,Jan,2,0,Thur,1,0,2,2
2011-01-20,0,Jan,3,0,Thur,1,0,1,1
2011-01-20,0,Jan,4,0,Thur,1,0,1,1
2011-01-20,0,Jan,5,0,Thur,1,0,6,6
2011-01-20,0,Jan,6,0,Thur,1,0,35,35
2011-01-20,0,Jan,7,0,Thur,1,1,100,101
2011-01-20,0,Jan,8,0,Thur,1,2,247,249
2011-01-20,0,Jan,9,0,Thur,1,3,140,143
2011-01-20,0,Jan,10,0,Thur,1,1,56,57
2011-01-20,0,Jan,11,0,Thur,1,5,63,68
2011-01-20,0,Jan,12,0,Thur,1,7,77,84
2011-01-20,0,Jan,13,0,Thur,1,12,86,98
2011-01-20,0,Jan,14,0,Thur,1,6,75,81
2011-01-20,0,Jan,15,0,Thur,1,8,62,70
2011-01-20,0,Jan,16,0,Thur,1,8,83,91
2011-01-20,0,Jan,17,0,Thur,1,8,207,215
2011-01-20,0,Jan,18,0,Thur,1,1,184,185
2011-01-20,0,Jan,19,0,Thur,1,6,146,152
2011-01-20,0,Jan,20,0,Thur,1,2,124,126
2011-01-20,0,Jan,21,0,Thur,1,3,54,57
2011-01-20,0,Jan,22,0,Thur,1,0,56,56
2011-01-20,0,Jan,23,0,Thur,1,3,28,31
2011-01-21,0,Jan,0,0,Fri,1,1,20,21
2011-01-21,0,Jan,1,0,Fri,1,0,6,6
2011-01-21,0,Jan,2,0,Fri,1,0,2,2
2011-01-21,0,Jan,3,0,Fri,1,0,1,1
2011-01-21,0,Jan,4,0,Fri,1,0,1,1
2011-01-21,0,Jan,5,0,Fri,1,1,4,5
2011-01-21,0,Jan,6,0,Fri,1,0,27,27
2011-01-21,0,Jan,7,0,Fri,1,2,66,68
2011-01-21,0,Jan,8,0,Fri,1,7,210,217
2011-01-21,0,Jan,9,0,Fri,1,7,159,166
2011-01-21,0,Jan,10,0,Fri,1,6,57,63
2011-01-21,0,Jan,11,0,Fri,1,6,53,59
2011-01-21,0,Jan,12,0,Fri,1,11,67,78
2011-01-21,0,Jan,13,0,Fri,1,8,65,73
2011-01-21,0,Jan,14,0,Fri,1,6,56,62
2011-01-21,0,Jan,15,0,Fri,1,4,61,65
2011-01-21,0,Jan,16,0,Fri,1,0,97,97
2011-01-21,0,Jan,17,0,Fri,1,10,151,161
2011-01-21,0,Jan,18,0,Fri,1,1,119,120
2011-01-21,0,Jan,19,0,Fri,1,3,93,96
2011-01-21,0,Jan,20,0,Fri,1,1,52,53
2011-01-21,0,Jan,21,0,Fri,1,0,41,41
2011-01-21,0,Jan,22,0,Fri,1,1,33,34
2011-01-21,0,Jan,23,0,Fri,1,0,27,27
2011-01-22,0,Jan,0,0,Sat,0,0,13,13
